subject,body,target_value
Internship at UltraInstinct.,"Dear students,

UltraInstinct is looking to hire summer interns from PESU.  Refer to the details attached, students who are interested are hereby informed to register through the link provided below on or before 9th Apr'20.



Dean, Training & Placement

---------- Forwarded message ---------

Hello sir

As discussed over the phone a while ago, I am one of your old students from the batch of 2008-12 ISE, PESIT (then Autonomous under VTU). I am now part of a Bengaluru based security startup called ""UltraInstinct"".

At UltraInstinct we use the video feed captured by the existing security surveillance systems to build a layer of intelligence on top to identify any suspicious event, predict harmful human action and alert users via all possible channels using self-explaining AI. We would love to tell you more when we get an opportunity to meet.

We are currently being funded by 4 investors - including one from Redmond, Washington and have 2 logos in our clientele. As we take our baby steps forward, we are looking to partner with corporates and academia alike to foster collaboration and growth.

In this regard, we are looking to partner with PESU and would like to offer paid internships with stipends over Rs 15,000 per month to interested students. We currently have opportunities in 2 areas

UI/UX design
Backend developer

I am attaching the details of the profiles along with this email.

Registration link: https://docs.google.com/forms/d/e/1FAIpQLScyhg3nseGqNkT2beA_kvk_eh9hqkgiCV8RYBLAyaYPaLh88g/viewform?usp=sf_link
",0
Any topics/questions/part which you want to be covered in the Revision Session ,"Dear Students,

Please do let me know (individual mail is also fine) if you have any questions which you would want me to answer as part of that session .. any part or topic which you want me to reiterate or anything which you want me to cover.

I will make sure that i highlight it in the revision session.
--------------------------
With Best Regards,
Phalachandra",1
"NetApp Women INnovathon | Open for Registration
","Dear students,

Find the email from NetApp.  students are hereby informed to participate by registering through the link provided below.

Note: Do forward this email to your junior classes, so the students who are interested can also apply.



Dean, Training & Placement

---------- Forwarded message ---------

 
To celebrate the spirit of innovation and diversity among students, NetApp University Relations team has launched Women INnovathon on 23 March 2020 as part of our International Women’s Day celebrations. This innovation challenge is for female students from B.E./ B. Tech, Dual Degree, MCA, M.E./ M. Tech and Ph.D courses.
 
Registration is open now and closes on 23 April 2019. Early registration will benefit students to prepare their ideas and solutions.
 
We would like to invite students from your institute for this innovation challenge. Please share the below invite with them.
",0
Regarding Compiler Design Mini-Project Review,"Dear Students,

This is to bring to your kind notice that the next review will commence from April 6, 2020. The deliverables expected for the review are :
Creation of Symbol Table (with required fields for line no, scope, value, type, storage required)
Validity of Syntax
Evaluation of Expressions and update in symbol table
Error Handling
Abstract Syntax tree generation
Intermediate code generation
Code optimization (Optional right now - if you are ready)
The project will be given a fresh look (which works to your benefit). Please make sure you put up a good show and demonstarte good work.

The evaluation will be done online via Google Hangouts. Meeting invites will be shared by a faculty member who will review your project. Hence it is highly important that you provide the team details at  https://forms.gle/q9DPTnfU9Q2b4S2H9 (ignore if already provided).

I have recieved a few queries related to project implementation, which I will answer by tomorrow EOD. 

Good Luck !

Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu",1
Urgent : Details required regarding Compiler Design Laboratory Mini-Project,"Dear Students,

Hope you are doing well and staying safe.

This email intends to collect the CD Lab Mini-Project Team Details and concerns if any. Please click on the link below and provide your team details (SRN and Name of all the team members). Only one member from the team must fill the form : 

https://forms.gle/q9DPTnfU9Q2b4S2H9

Kindly treat this urgent and important and provide the details by today evening 11:00 PM.

Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu
",1
"Instructions for Special Topic Mini Project ESA for the Session Jan - May 2020
","Dear Students,

Hope this message finds you all well. This email is sent out to give a brief idea of how Special Topic ESA will be carried out. 
PFA the Mini Project ESA template and report format. 

Parameters considered for evaluation are as follows: 
Parameters        Marks(Total=60)
Abstract Writing / Summary of the Project        10
Paper write up and submission        10
Concept of the work / Originality of the work and Significance & Relevance – Application in Real world        20
Project Outcome (Achieved Project Objectives or not)-        10
Presentation & Viva-voce        10

Instructions : 

1. Mini Project report has to be a paper written in IEEE format(format is attached for your reference). There should be minimum of 6 pages and can be extended upto max of 12pages.
2. Plagiarism of the paper has to be <20%. Kindly use some good Plagiarism tools available online like Viper. You can also take suggestions for the same from your Guide. 
3. You can modify the presentation template accordingly for inclusion of more details. 
4. Contact your respective guides and get approval on PPT and report format. 
5. On the day of Exam, you shall submit IEEE paper along with the plagiarism report to the panel with final demo. 

Hence with this information I would request you all to gear up for your ESA and the teams who are still in the process of completion of reviews shall do it ASAP so that you'll get enough time for writing IEEE paper and preparing for your Demo. 

Detailed schedule for ESA presentations will be posted shortly. 
 
Keep Going :) 

wishes, 
   jamuna ",1
SAN Assignment ,"Dear All,

Given that the assignment in its current form needs individual reviews with every one, am exploring with the Chairperson on how to proceed.

We should have more clarity ~10th April. Will get back to you as soon as we close on it.
--------------------------
With Best Regards,
Prof. Phalachandra",1
6th Semester : Request to fill the form to collect Valid Phone no. and Email Ids,"Dear Students,
As per the directions of the Chairperson, Department of CSE, I request all the 6th Semester Students to fill the form given in the below link:
https://forms.gle/csf4E29vWnZrXeWL9
This Information is being collected by Dept in allocating mentors to students and help through online.
Deadline : Before 7pm today.
Please Let me know if you have any queries.",0
"Event of Equinox - The Space Club
","Dear Student,

A shoutout to all the passionate artists at PES University!!

Use this break period to ramp up your creative skills. Equinox - The Space Club presents to you the 2nd edition of ASTRA, a theme based space art contest, in collaboration with DSGNR, The Design Club. This year's theme is chosen to be ""MYSTERIES  OF SPACE.""

Entry lines open on 1st April 2020 and close on 10th April 2020.

1) Start drawing/painting/sketching/digital drawing your concepts and post them on Instagram. 

2) Tag @equinox.pes and @dsgnr_pesu. Use #spacedsgnr and #equinoxastra

3) Also upload an HD quality image of your art along with your contact details in the Google form : https://forms.gle/EpYL6nthLjANHr8F6

Whether you're a beginner or a pro, doesn't matter! What matters is the joy of bringing your imagination to life. So hit the canvas and stand a chance to win prizes worth 6k!!

Best, 
Team Equinox",0
"PESU Live Entertainment - PESU Dhinchak - Deadline Extended
","Dear Students,

The deadline for submission of Google Forms for participation in PESU Dhinchak - a singing contest for songs from Bollywood movies, has been extended.

Students interested to participate are invited to fill up the Google Form provided herewith and attach a video file of them rendering the song. The duration is not to exceed 2 minutes and file size not to exceed 10 MB.

Shortlisted singers will be informed and invited to sing live in the contest. Use of Karaoke is recommended.

Extended Deadline for submission of Google Forms: Sunday, March 29
Time: 6 pm

https://forms.gle/dPAayMJjHsdtWkF48



PESU Dhinchak Live Competition happens on:-

Day/Date: Monday, March 30
Time: 4 pm onwards

Thanks
PESU Administration",0
"PESU Live Entertainment
","Dear Student,

PESU Live Entertainment is starting a series of entertainment session for students, Today is the pilot run.

All students are informed that there will be a singing competition from 3:30 PM onwards on the same platform as that of LIVE online classrooms (Impartus). 

The best student-singers from PES University will be participating LIVE. Students are invited to logon and enjoy the event.  

Please note that each participant will be featured in separate sessions, students are informed to login to each session separately. 

This is the first of the many PESU Live Entertainment sessions in the coming days, we invite you to enjoy the sessions.


Thanks
PESU Administration",0
Request to finish the Special Topic Mini Project Reviews within this week :,"Dear All, 

Hope this message finds you all well. Inspite of the recent events most of the Special Topic Mini Project Reviews were carried out Successfully on Skype and Google Hangouts. In this regard I would like to thank everyone for the cooperation. 

Also I would request all the left out teams to finish the reviews within this week and report back to me as soon as possible so that final ESA will be scheduled accordingly. 

I'll keep you all posted for any updates. 

wishes, 
  jamuna

On Mon, 16 Mar, 2020, 11:04 PM Jamuna S Murthy, <jamunasmurthy@pes.edu> wrote:
Dear Students, 

Hope this message finds you well. This is to inform that you can use the facility of Google Hangouts or Skype and finish your Review - 2 presentations for special topic mini project with your guide within next week. 

Kindly try finishing your presentations if possible to stay on track with your project. 

wishes, 
  jamuna 

On Mon, 2 Mar, 2020, 4:10 PM Jamuna S Murthy, <jamunasmurthy@pes.edu> wrote:
Dear Students,

You are hereby informed that Review- 2 for Special Topic Mini - Project is scheduled from 16/03/2020 to 21/03/2020.
In this regard I would request you all to kindly meet your respective guides and panel members, note their free slots and fix up the date and timings for your presentations. 
Students who fail to give their presentations within the required deadline will be penalized. Kindly find the Presentation Template and Panel Members Details for your reference. 


Thanks and Regards,

Jamuna S Murthy M.Tech (SSE)
Assistant Professor 
PES University
Outer Ring Rd, Banashankari 3rd Stage, Banashankari, 
Bengaluru, Karnataka 560085
Ph: +91 8971289042
Email: jamunasmurthy@pes.edu",1
"Survey on Gaming Behavior
","Dear Student,

The Department of Psychiatry, PESIMSR, Kuppam is working on a Research Project, ""A comparative Study of Problematic Gaming Behavior in Engineering versus Medical Students"".

We request you to participate in the survey below and provide your valuable inputs. We appreciate your contribution towards this research project.

https://forms.gle/b3mdbmiatFAvLH7x8 

Take Care & Stay Safe
PES University Administration.",0
"Kick Start 2020 competition season is open!
","Hi Mr  K ,


We hope this email finds you well. I'm reaching out to let you know Kick Start 2020 registration is now open! This Google online coding competition provides students and industry professionals the opportunity to try their hand at solving Googler-created algorithmic challenges throughout the year. Our goal is to help participants grow their coding abilities, get acquainted with coding competitions, and get a glimpse into the programming skills needed for a technical career at Google. 

How can you help? Please share this opportunity with your students. We recommend the competition for students that have taken at least a basic algorithm and data structures class. Below you’ll find an email template containing information about participating in Kick Start that you can simply forward.

Need more info? Visit g.co/kickstart for answers to frequently asked questions. If you have further inquiries, please reach out to the Kick Start team at kickstart@google.com. 

Thank you for your support and partnership!

Rahul Narang
Talent & Outreach Programs, Google
 
-----------------------------TEMPLATE TO FORWARD ON TO STUDENTS--------------------------------

Follow up for participants (student and industry) 
Subject: Kick Start 2020 registration is open! 

",0
"Final project progress
","howmuch of the final project is done?


[o] Will be done by next week (no issues) [o] Need a 1 week extension [o] Need 2 weeks at least (too many communication issues) [o] We are completely stuck and need help (if so please message Prof Venkatesh prasad)

Click here to view. Search or link to this question with @252.

Sign up for more classes at http://piazza.com/pes.



Thanks,
The Piazza Team",1
a new note to Designing IoT Solutions,"Dear all Thursday Revision class will be there, If you have any doubts Please share the Topic name Thanks & Regards Charanraj B R",0
Gen Next Education Webinar on 17th April,"Dear students,

Refer to the details mentioned below, students who are interested can use the benefit of the Webinar.



Dean, Training & Placement

---------- Forwarded message ---------


,
---------------------------------------------

Topic:
   Fireside chat with Gen Next Alumni

Description:  Have an open discussion with our alumni who are currently in the US. Listen to their stories and learn from their study abroad experience. Come prepared to have your questions answered and make your journey easier.
Time:
Apr 17, 2020 06:30 PM in India


Here's the link for the webinar: https://zoom.us/webinar/register/WN_JYC57wkWRjql6AOO05M0HA

Please do let us know if you encounter any difficulty in registering for the webinar, or you have any questions about the same.
We are happy to help!

Looking forward to your presence on the 17 April, 2020.
",0
 Regarding Phase 3 Evaluations for Compiler Design Laboratory,"Dear Students, 

Kindly one in a team fill out this small form for the reference regarding Compiler Design Lab evaluations done by me. It's mandatory for everyone to fill out this form and the Students who haven't completed it yet can fill out this form soon as they complete and include the Review date in the form accordingly. 

But students who are already done with reviews shall fill out the form to the earliest by tomorrow 4pm. 

https://forms.gle/frnjQ6wzGbXvAYwo7

wishes, 
    jamuna ",1
Issues/Feedback related to Compiler Design Theory,"Dear Students,

We will be completing the Compiler Design syllabus by Next week. We will then start revising the syllabus unit wise. In view of that I would like you to share concerns/issues that you face related to the subject and topics you feel are difficult(unit-wise) and must be revised. You can provide your feedback at the below link and help me plan better for the lectures:

https://forms.gle/bmGeMW9sVEzQfpEEA

I encourage each student to reply to the email. I hope to see a good response. Kindly reply by Sunday (April 5, 2020).

Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu",0
"PES Counseling service
","Dear Students,
PES Counseling service is available online for all students during the holiday time, Any students could call/write up during office hours for the support.
Contact details:
1. Prof. Ancy Mathew: 9449616912; ancym@pes.edu,
2. Dr. Vijendra Kumar SK: 9741056503; vijendrak@pes.edu,
--


Regards,
Dr. Vijendra Kumar S.K.
Assistant Professor & Counseling Psychologist,
Centre for Counseling and Career Guidance,
Department of Science &Humanities,
PES University, Bengaluru-560085
Ext:828, Mob: 9741056503
Mail ID: vijendrak@pes.edu",0
Emerging Business Leaders 2020 | Masters' Union,"

---------- Forwarded message ---------
Date: Mon, Mar 16, 2020 at 6:01 PM
Subject: Emerging Business Leaders 2020 | Masters' Union





Great connecting with you today.

Sharing details of Master's Union Emerging Business Leaders 2020. The competition is open to all undergraduate students and the rounds will be online. Feel free to get in touch with me if you have any other queries. It would be great if you could circulate the email below amongst students.

Warm regards
Devaki Bhooshan
Dare2Compete

Masters' Union
Every great idea needs the right platform to develop into a thriving business! Masters' Union brings to you a unique Management-Finance-Entrepreneurship Competition, which will help you grow and realize your dreams.

This 3-stage challenge is designed to bring out the best in you. Calling all undergraduate students and business enthusiasts, register now and start on a journey to excellence.

Prizes:

Grant of INR 20 Lakhs
Scholarships worth INR 20 Lakhs
Direct admission into the Masters’ Union Startup School
Chance to get featured on CNBC TV18
Last date to register: 27th March 2020

Register Now
Best,
Team MUEBL

Masters Union        
Corporate office :
Avanta Business Centre, 4th Floor,
Worldmark-2, Aerocity, New Delhi - 110037
phone 1800 120 5288

   
--
You received this message because you are subscribed to the Google Groups ""pesucse2017batchall"" group.
To unsubscribe from this group and stop receiving emails from it, send an email to pesucse2017batchall+unsubscribe@googlegroups.com.
To view this discussion on the web visit https://groups.google.com/d/msgid/pesucse2017batchall/CAFtiob-dHCN2MR5NE9G2bRuCxyJv%3DUzuJ%3DUNkOtcX%3Decq7OxVQ%40mail.gmail.com.
",0
Regarding Special Topic Mini - Project Review 2,"Dear Students, 

Hope this message finds you well. This is to inform that you can use the facility of Google Hangouts or Skype and finish your Review - 2 presentations for special topic mini project with your guide within next week. 

Kindly try finishing your presentations if possible to stay on track with your project. 

wishes, 
  jamuna 

On Mon, 2 Mar, 2020, 4:10 PM Jamuna S Murthy, <jamunasmurthy@pes.edu> wrote:
Dear Students,

You are hereby informed that Review- 2 for Special Topic Mini - Project is scheduled from 16/03/2020 to 21/03/2020.
In this regard I would request you all to kindly meet your respective guides and panel members, note their free slots and fix up the date and timings for your presentations. 
Students who fail to give their presentations within the required deadline will be penalized. Kindly find the Presentation Template and Panel Members Details for your reference. 


Thanks and Regards,

Jamuna S Murthy M.Tech (SSE)
Assistant Professor 
PES University
Outer Ring Rd, Banashankari 3rd Stage, Banashankari, 
Bengaluru, Karnataka 560085
Ph: +91 8971289042
Email: jamunasmurthy@pes.edu",1
Do it today and mail me,"Dear Students,
 
   Few assignments were assigned to teams. (like preparing ppts using Text book Box items) Few have submitted. Others do it today without fail.


--
Thanks & Regards
             dk
----------------------------------------
D Krupesha
Associate Professor, Department of Computer Science & Engineering
PES University  www.pes.edu 
(Former PES Institute of Technology)
100 Feet Ring Road, BSK 3rd Stage, Bengaluru - 560 085  INDIA
krupesha@pes.edu
",1
Regarding the emails that I have received from you regarding the concern on Covid-19,"Dear students,
I have received a couple of mails from your end regarding your concern related to Covid-19. I have raised this matter to the concerned. Will have discussions internally and get back to you asap.
Wish you all good health
Thanks & Rgds
Dr.Shylaja S S
Chairperson(UG&PG Studies),Dept of CSE, PES University,
& Prof & Head of the Dept CS & IS,PESIT,Bangalore

Please do not print this email unless it is absolutely necessary.

The information contained in this electronic message and any attachments to this message are intended for the exclusive use of the addressee(s) and may contain PES proprietary, confidential or privileged information. If you are not the intended recipient, you should not disseminate, distribute or copy this e-mail. Please notify the sender immediately and destroy all copies of this message and any attachments.

WARNING: Computer viruses can be transmitted via email. The recipient should check this email and any attachments for the presence of viruses. PES Institutions accepts no liability for any damage caused by any virus transmitted by this email.

www.pes.edu",0
